y_cur    solvent    bio    polymer    osm_pressure
1.02943579392541    0.0415242381024122    0.000236401817562221    0.958239360080026    -1.77982701003346
1.05887158785083    0.0417360013750155    0.000238965474841831    0.958025033150143    -1.77515341410648
1.08830738177624    0.042094220376045    0.000243326101872242    0.957662453522083    -1.76730594212962
1.11774317570165    0.0426071459394375    0.000249621118841206    0.957143232941721    -1.75619492683585
1.14717896962707    0.0432870442495331    0.000258055803525383    0.956454899946942    -1.74168941183525
1.17661476355248    0.0441510475166923    0.000268916980403276    0.955580035502904    -1.7236104860454
1.20605055747789    0.0452224882587182    0.000282597159722942    0.954494914581559    -1.70172050429237
1.23548635140331    0.0465329819887758    0.000299628156727569    0.953167389854497    -1.67570598472813
1.26492214532872    0.0481257542084634    0.000320734169422601    0.951553511622114    -1.64514996195159
1.29435793925413    0.050519787289972    0.000376178058060917    0.949104034651967    -1.60127588061193
1.32379373317955    0.0529418064705645    0.000413389925854199    0.946644803603581    -1.55915494659256
1.35322952710496    0.0559476433028202    0.000460759099087045    0.943591597598093    -1.50976657485882
1.38266532103037    0.0597690348814501    0.000522450519027164    0.939708514599523    -1.45110076235369
1.41210111495579    0.0648371487110396    0.000605910565145186    0.934556940723815    -1.3795097914041
1.4415369088812    0.0721362717613001    0.000727175192195284    0.927136553046505    -1.28690050668955
1.47097270280661    0.0852355771997905    0.000939116794777132    0.913825306005432    -1.14514707620226
1.50040849673203    0.123466659896266    0.00152731677702656    0.875006023326707    -0.84685501010954
1.52984429065744    0.279796076359917    0.00161744928698972    0.718586474353093    -0.30723889193319
1.55928008458285    0.755678218677133    0.00276575062060745    0.241556030702259    -0.011249350246045
1.58871587850827    0.773446606388999    0.00278151747940668    0.223771876131595    -0.00964607428259935
1.61815167243368    0.772162577609211    0.00268383582466594    0.225153586566123    -0.00971349832035893
1.64758746635909    0.801590761863786    0.00296078631233316    0.195448451823881    -0.00759408270437279
1.67702326028451    0.823627566497036    0.00299450339000282    0.173377930112962    -0.00625368934084693
1.70645905420992    не число    не число    не число    не число
1.73589484813533    0.892262112285493    0.00322399563910661    0.1045138920754    -0.00343357028065221
1.76533064206075    0.93128726008227    0.00342428541685734    0.0652884545008728    -0.0024495286975939
