Function: BrushEquations;
Iteration; X[0];X[1];F[0];F[1];FNORM;J[00];J[01];J[10];J[11];
0;1E-08;0.97;9.98716365052117;1.01119833046592;201.531919691657;-209500715.92825;-202.429136369765;67.9341383147403;92.6680365137241;
1;6.8215024581443E-08;0.95908790643143;7.62330672424416;0.603574577682525;159.245067528559;-26833434.2090787;-114.287797287173;33.4057407366593;35.224897148626;
2;4.25293945855112E-07;0.941952682342012;5.73468062624835;0.349330924689992;91.4877016627439;-3732681.23665276;-59.0868427797074;14.9553912976493;11.3330337368161;
3;2.44961335957554E-06;0.911125879273032;4.22252495380236;0.226798277061543;50.8897484239747;-556050.229690132;-24.6876253930148;5.79983963876344;1.79390954655323;
4;1.56584149883885E-05;0.784656355528804;2.83724613266781;0.418094898893168;26.1059234057806;-71297.3790398996;-1.05391502830082;0.404866093659177;-2.56792307336638;
5;5.30461478176564E-05;0.947476667498039;0.516853414887129;0.405662604478622;8.6564685629718;-8994.13774597797;-19.2128095356628;18.8616242715187;15.9363612444979;
6;0.000165171203727831;0.921888802181832;0.339507306813172;0.248606148815787;0.608769829761417;-2346.06182389693;-8.47357832016181;7.72442966638783;3.62210814402422;
7;0.000560833258559406;0.852409260842023;0.185917385191707;0.263830367405244;0.281241965490258;-512.170466527461;-1.59367086703477;1.93448507268122;-1.62233920382012;
8;0.00048958738777515;0.933636022371796;0.0149850922421487;0.298325003546118;0.193394097612004;-166.76916487444;-1.53248057132388;11.278282208982;7.24606511216723;
9;0.000964562536247684;0.891726116428098;0.0208398003661005;0.222640755758907;0.139225564134493;-100.214271728852;-1.04879744142476;3.93492705081024;0.0890095068524707;
10;0.00710257615496723;0.307712878577407;0.140426239684767;0.234752326042343;0.12483138677849;34.7431851139253;0.270440341525324;0.349157818138921;1.9342217227076;
11;0.00400110784484249;0.186904896022516;0.017239330822983;0.0613942045395926;0.0788946262525676;21.8366398642463;0.135765558529952;0.255282927458899;0.901636205560059;
12;0.00363434437111768;0.118916747689167;0.003975896329464;0.0187043465975996;0.00443210321153936;11.6969584526358;0.0697811555512669;0.150582722087127;0.393974749955197;
13;0.00357753634746329;0.071462457045192;0.00100339853520117;0.00591724139297975;0.000401680887589017;6.11643224559055;0.0350006665238589;0.0844837433579931;0.169044779717752;
